ID	Name	Desc
LL0000008408	CU929544.1	receptor-type tyrosine-protein phosphatase delta-like [Source:NCBI gene;Acc:103911449]
LL0000008409	CU929568.1	
LL0000008410	CU929568.2	
LL0000008411	CU972454.1	C-type mannose receptor 2-like [Source:NCBI gene;Acc:100329853]
LL0000008412	CU972454.2	macrophage mannose receptor 1-like [Source:NCBI gene;Acc:110439907]
LL0000008413	CU972454.3	
LL0000008414	CU972454.4	
LL0000008415	CU972454.5	
LL0000008416	CU972512.1	uncharacterized LOC101885411 [Source:NCBI gene;Acc:101885411]
LL0000008417	CU972516.1	
LL0000008418	CU984579.1	leucine-rich repeat neuronal protein 4-like [Source:NCBI gene;Acc:564748]
LL0000008419	CU984583.1	
LL0000008420	CU984600.1	prostaglandin F2 receptor inhibitor [Source:NCBI gene;Acc:101883373]
LL0000008421	CU984600.2	si:dkeyp-118h9.7 [Source:NCBI gene;Acc:555303]
LL0000008422	CU984600.3	immunoglobulin superfamily member 3-like [Source:NCBI gene;Acc:100005927]
LL0000008423	CU986305.1	
LL0000008424	CU986306.1	
LL0000008425	CU993818.1	
LL0000008426	cubn	cubilin (intrinsic factor-cobalamin receptor)
LL0000008427	cuedc1a	CUE domain containing 1a
LL0000008428	cuedc1b	CUE domain containing 1b
LL0000008429	cuedc2	CUE domain containing 2
LL0000008430	cul1a	cullin 1a
LL0000008431	cul1b	cullin 1b
LL0000008432	cul2	cullin 2
LL0000008433	cul3a	cullin 3a
LL0000008434	cul3b	cullin 3b
LL0000008435	cul4a	cullin 4A
LL0000008436	cul4b	cullin 4B
LL0000008437	cul5a	cullin 5a
LL0000008438	cul5b	cullin 5b
LL0000008439	cul9	cullin 9
LL0000008440	cunh18orf32	chromosome unknown C18orf32 homolog, transcript variant X1
LL0000008441	cutc	cutC copper transporter homolog (E. coli)
LL0000008442	cux1a	cut-like homeobox 1a
LL0000008443	cux1b	cut-like homeobox 1b
LL0000008444	cux2a	cut-like homeobox 2a
LL0000008445	cux2b	cut-like homeobox 2b
LL0000008446	cuzd1.1	CUB and zona pellucida-like domains 1, tandem duplicate 1
LL0000008447	cuzd1.2	CUB and zona pellucida-like domains 1, tandem duplicate 2
LL0000008448	cwc15	CWC15 spliceosome associated protein homolog
LL0000008449	cwc22	CWC22 spliceosome associated protein homolog
LL0000008450	cwc25	CWC25 spliceosome associated protein homolog
LL0000008451	cwc27	CWC27 spliceosome associated cyclophilin
LL0000008452	cwf19l1	CWF19 like cell cycle control factor 1
LL0000008453	cwf19l2	CWF19 like cell cycle control factor 2
LL0000008454	cx23	connexin 23
LL0000008455	cx27.5	connexin 27.5
LL0000008456	cx28.1	connexin 28.1
LL0000008457	cx28.6	connexin 28.6
LL0000008458	cx28.8	connexin 28.8
LL0000008459	cx28.9	connexin 28.9
LL0000008460	cx30.3	connexin 30.3
LL0000008461	cx30.9	connexin 30.9
LL0000008462	cx31.7	connexin 31.7
LL0000008463	cx32.2	connexin 32.2
LL0000008464	cx32.3	connexin 32.3
LL0000008465	cx34.4	connexin 34.4
LL0000008466	cx34.5	connexin 34.5
LL0000008467	cx35.4	connexin 35.4
LL0000008468	cx36.7	connexin 36.7
LL0000008469	cx39.4	connexin 39.4
LL0000008470	cx39.9	connexin 39.9
LL0000008471	cx40.8	connexin 40.8
LL0000008472	cx43	connexin 43
LL0000008473	cx43.4	connexin 43.4
LL0000008474	cx44.2	connexin 44.2
LL0000008475	cx47.1	connexin 47.1
LL0000008476	cx52.6	connexin 52.6
LL0000008477	cx52.7	connexin 52.7
LL0000008478	cx52.9	connexin 52.9
LL0000008479	cx55.5	connexin 55.5
LL0000008480	cxadr	CXADR Ig-like cell adhesion molecule
LL0000008481	cxcl11.1	chemokine (C-X-C motif) ligand 11, duplicate 1
LL0000008482	cxcl11.5	chemokine (C-X-C motif) ligand 11, duplicate 5
LL0000008483	cxcl11.6	chemokine (C-X-C motif) ligand 11, duplicate 6
LL0000008484	cxcl11.7	chemokine (C-X-C motif) ligand 11, duplicate 7
LL0000008485	cxcl11.8	chemokine (C-X-C motif) ligand 11, duplicate 8
LL0000008486	cxcl12a	chemokine (C-X-C motif) ligand 12a (stromal cell-derived factor 1)
LL0000008487	cxcl12b	chemokine (C-X-C motif) ligand 12b (stromal cell-derived factor 1)
LL0000008488	cxcl14	chemokine (C-X-C motif) ligand 14
LL0000008489	cxcl18a.1	chemokine (C-X-C motif) ligand 18a, duplicate 1
LL0000008490	cxcl18b	chemokine (C-X-C motif) ligand 18b
LL0000008491	cxcl19	chemokine (C-X-C motif) ligand 19
LL0000008492	cxcl20	chemokine (C-X-C motif) ligand 20
LL0000008493	cxcl32b.1	chemokine (C-X-C motif) ligand 32b, duplicate 1
LL0000008494	cxcl8a	chemokine (C-X-C motif) ligand 8a
LL0000008495	cxcl8b.1	chemokine (C-X-C motif) ligand 8b, duplicate 1
LL0000008496	cxcl8b.3	chemokine (C-X-C motif) ligand 8b, duplicate 3
LL0000008497	cxcr1	chemokine (C-X-C motif) receptor 1
LL0000008498	cxcr2	chemokine (C-X-C motif) receptor 2
LL0000008499	cxcr3.1	chemokine (C-X-C motif) receptor 3, tandem duplicate 1
LL0000008500	cxcr3.2	chemokine (C-X-C motif) receptor 3, tandem duplicate 2
LL0000008501	cxcr3.3	chemokine (C-X-C motif) receptor 3, tandem duplicate 3
LL0000008502	cxcr4a	chemokine (C-X-C motif) receptor 4a
LL0000008503	cxcr4b	chemokine (C-X-C motif), receptor 4b
LL0000008504	cxcr5	chemokine (C-X-C motif) receptor 5
LL0000008505	cxl34b.11	CX chemokine ligand 34b, duplicate 11
LL0000008506	cxl34c	CX chemokine ligand 34c
LL0000008507	cxxc1a	CXXC finger protein 1a
LL0000008508	cxxc1b	CXXC finger protein 1b
LL0000008509	cxxc4	CXXC finger 4
LL0000008510	cxxc5a	CXXC finger protein 5a
LL0000008511	cxxc5b	CXXC finger protein 5b
LL0000008512	cyb561	cytochrome b561
LL0000008513	cyb561a3a	cytochrome b561 family, member A3a
LL0000008514	cyb561a3b	cytochrome b561 family, member A3b
LL0000008515	cyb561d1	cytochrome b561 family, member D1
LL0000008516	cyb561d2	cytochrome b561 family, member D2
LL0000008517	cyb5a	cytochrome b5 type A (microsomal)
LL0000008518	cyb5b	cytochrome b5 type B
LL0000008519	cyb5d1	cytochrome b5 domain containing 1
LL0000008520	cyb5d2	cytochrome b5 domain containing 2
LL0000008521	cyb5r1	cytochrome b5 reductase 1
LL0000008522	cyb5r2	cytochrome b5 reductase 2
LL0000008523	cyb5r3	cytochrome b5 reductase 3
LL0000008524	cyb5r4	cytochrome b5 reductase 4
LL0000008525	cyba	cytochrome b-245, alpha polypeptide
LL0000008526	cybb	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
LL0000008527	cybc1	cytochrome b-245 chaperone 1
LL0000008528	cybrd1	cytochrome b reductase 1
LL0000008529	cyc1	cytochrome c-1
LL0000008530	cycsa	cytochrome c, somatic a
LL0000008531	cycsb	cytochrome c, somatic b
LL0000008532	cyfip1	cytoplasmic FMR1 interacting protein 1
LL0000008533	cyfip2	cytoplasmic FMR1 interacting protein 2
LL0000008534	cygb1	cytoglobin 1
LL0000008535	cygb2	cytoglobin 2
LL0000008536	cyhr1	cysteine/histidine-rich 1
LL0000008537	cylda	cylindromatosis (turban tumor syndrome), a
LL0000008538	cyldb	cylindromatosis (turban tumor syndrome), b
LL0000008539	cyldl	cylindromatosis (turban tumor syndrome), like
LL0000008540	cyp11a1	cytochrome P450, family 11, subfamily A, polypeptide 1
LL0000008541	cyp11a2	cytochrome P450, family 11, subfamily A, polypeptide 2
LL0000008542	cyp11c1	cytochrome P450, family 11, subfamily C, polypeptide 1
LL0000008543	cyp17a1	cytochrome P450, family 17, subfamily A, polypeptide 1
LL0000008544	cyp17a2	cytochrome P450, family 17, subfamily A, polypeptide 2
LL0000008545	cyp19a1a	cytochrome P450, family 19, subfamily A, polypeptide 1a
LL0000008546	cyp19a1b	cytochrome P450, family 19, subfamily A, polypeptide 1b
LL0000008547	cyp1a	cytochrome P450, family 1, subfamily A
LL0000008548	cyp1b1	cytochrome P450, family 1, subfamily B, polypeptide 1
LL0000008549	cyp1c1	cytochrome P450, family 1, subfamily C, polypeptide 1
LL0000008550	cyp1c2	cytochrome P450, family 1, subfamily C, polypeptide 2
LL0000008551	cyp1d1	cytochrome P450, family 1, subfamily D, polypeptide 1
LL0000008552	cyp20a1	cytochrome P450, family 20, subfamily A, polypeptide 1
LL0000008553	cyp21a2	cytochrome P450, family 21, subfamily A, polypeptide 2
LL0000008554	cyp24a1	cytochrome P450, family 24, subfamily A, polypeptide 1
LL0000008555	cyp26a1	cytochrome P450, family 26, subfamily A, polypeptide 1
LL0000008556	cyp26b1	cytochrome P450, family 26, subfamily b, polypeptide 1
LL0000008557	cyp26c1	cytochrome P450, family 26, subfamily C, polypeptide 1
LL0000008558	cyp27a1.2	cytochrome P450, family 27, subfamily A, polypeptide 1, gene 2
LL0000008559	cyp27a1.4	cytochrome P450, family 27, subfamily A, polypeptide 1, gene 4
LL0000008560	cyp27a7	cytochrome P450, family 27, subfamily A, polypeptide 7
LL0000008561	cyp27b1	cytochrome P450, family 27, subfamily B, polypeptide 1
LL0000008562	cyp27c1	cytochrome P450, family 27, subfamily C, polypeptide 1
LL0000008563	cyp2aa1	cytochrome P450, family 2, subfamily AA, polypeptide 1
LL0000008564	cyp2aa11	cytochrome P450, family 2, subfamily AA, polypeptide 11
LL0000008565	cyp2aa12	cytochrome P450, family 2, subfamily AA, polypeptide 12
LL0000008566	cyp2aa2	y cytochrome P450, family 2, subfamily AA, polypeptide 2
LL0000008567	cyp2aa3	cytochrome P450, family 2, subfamily AA, polypeptide 3
LL0000008568	cyp2aa4	cytochrome P450, family 2, subfamily AA, polypeptide 4
LL0000008569	cyp2aa6	cytochrome P450, family 2, subfamily AA, polypeptide 6
LL0000008570	cyp2aa7	cytochrome P450, family 2, subfamily AA, polypeptide 7
LL0000008571	cyp2aa8	cytochrome P450, family 2, subfamily AA, polypeptide 8
LL0000008572	cyp2aa9	cytochrome P450, family 2, subfamily AA, polypeptide 9
LL0000008573	cyp2ad2	cytochrome P450, family 2, subfamily AD, polypeptide 2
LL0000008574	cyp2ad3	cytochrome P450, family 2, subfamily AD, polypeptide 3
LL0000008575	cyp2ad6	cytochrome P450, family 2, subfamily AD, polypeptide 6
LL0000008576	cyp2ae1	cytochrome P450, family 2, subfamily AE, polypeptide 1
LL0000008577	cyp2j20	cytochrome P450, family 2, subfamily J, polypeptide 20
LL0000008578	cyp2k16	cytochrome P450, family 2, subfamily K, polypeptide16
LL0000008579	cyp2k17	cytochrome P450, family 2, subfamily K, polypeptide17
LL0000008580	cyp2k18	cytochrome P450, family 2, subfamily K, polypeptide 18
LL0000008581	cyp2k19	cytochrome P450, family 2, subfamily k, polypeptide 19
LL0000008582	cyp2k20	cytochrome P450, family 2, subfamily k, polypeptide 20
LL0000008583	cyp2k21	cytochrome P450, family 2, subfamily k, polypeptide 21
LL0000008584	cyp2k22	cytochrome P450, family 2, subfamily K, polypeptide 22
LL0000008585	cyp2k31	cytochrome P450, family 2, subfamily k, polypeptide 31
LL0000008586	cyp2k6	cytochrome P450, family 2, subfamily K, polypeptide 6
LL0000008587	cyp2k8	cytochrome P450, family 2, subfamily K, polypeptide 8
LL0000008588	cyp2n13	cytochrome P450, family 2, subfamily N, polypeptide 13
LL0000008589	cyp2p10	cytochrome P450, family 2, subfamily P, polypeptide 10
LL0000008590	cyp2p6	cytochrome P450, family 2, subfamily P, polypeptide 6
LL0000008591	cyp2p7	cytochrome P450, family 2, subfamily P, polypeptide 7
LL0000008592	cyp2p8	cytochrome P450, family 2, subfamily P, polypeptide 8
LL0000008593	cyp2p9	cytochrome P450, family 2, subfamily P, polypeptide 9
LL0000008594	cyp2r1	cytochrome P450, family 2, subfamily R, polypeptide 1
LL0000008595	cyp2u1	cytochrome P450, family 2, subfamily U, polypeptide 1
LL0000008596	cyp2v1	cytochrome P450, family 2, subfamily V, polypeptide 1
LL0000008597	cyp2x10.2	cytochrome P450, family 2, subfamily X, polypeptide 10.2
LL0000008598	cyp2x12	cytochrome P450, family 2, subfamily X, polypeptide 12
LL0000008599	cyp2x6	cytochrome P450, family 2, subfamily X, polypeptide 6
LL0000008600	cyp2x7	cytochrome P450, family 2, subfamily X, polypeptide 7
LL0000008601	cyp2x8	cytochrome P450, family 2, subfamily X, polypeptide 8
LL0000008602	cyp2x9	cytochrome P450, family 2, subfamily X, polypeptide 9
LL0000008603	cyp2y3	cytochrome P450, family 2, subfamily Y, polypeptide 3
LL0000008604	cyp39a1	cytochrome P450, family 39, subfamily A, polypeptide 1
LL0000008605	cyp3a65	cytochrome P450, family 3, subfamily A, polypeptide 65
LL0000008606	cyp3c1	cytochrome P450, family 3, subfamily c, polypeptide 1
LL0000008607	cyp3c3	cytochrome P450, family 3, subfamily c, polypeptide 3
LL0000008608	cyp3c4	cytochrome P450, family 3, subfamily C, polypeptide 4
LL0000008609	cyp46a1.1	cytochrome P450, family 46, subfamily A, polypeptide 1, tandem duplicate 1
LL0000008610	cyp46a1.2	cytochrome P450, family 46, subfamily A, polypeptide 1, tandem duplicate 2
LL0000008611	cyp46a1.3	cytochrome P450, family 46, subfamily A, polypeptide 1, tandem duplicate 3
LL0000008612	cyp46a1.4	cytochrome P450, family 46, subfamily A, polypeptide 1, tandem duplicate 4
LL0000008613	cyp4f3	cytochrome P450, family 4, subfamily F, polypeptide 3
LL0000008614	cyp4t8	cytochrome P450, family 4, subfamily T, polypeptide 8
LL0000008615	cyp4v7	cytochrome P450, family 4, subfamily V, polypeptide 7
LL0000008616	cyp4v8	cytochrome P450, family 4, subfamily V, polypeptide 8
LL0000008617	cyp51	cytochrome P450, family 51
LL0000008618	cyp7a1	cytochrome P450, family 7, subfamily A, polypeptide 1
LL0000008619	cyp7b1	cytochrome P450, family 7, subfamily B, polypeptide 1
LL0000008620	cyp8b1	cytochrome P450, family 8, subfamily B, polypeptide 1
LL0000008621	cyp8b2	cytochrome P450, family 8, subfamily B, polypeptide 2
LL0000008622	cyp8b3	cytochrome P450, family 8, subfamily B, polypeptide 3
LL0000008623	cyr61	cysteine-rich, angiogenic inducer, 61 [Source:ZFIN;Acc:ZDB-GENE-040426-3]
LL0000008624	cyr61l1	cysteine-rich, angiogenic inducer 61 like 1 [Source:ZFIN;Acc:ZDB-GENE-050417-136]
LL0000008625	cyr61l2	cysteine-rich, angiogenic inducer, 61 like 2 [Source:ZFIN;Acc:ZDB-GENE-060404-5]
LL0000008626	cysltr1	cysteinyl leukotriene receptor 1
LL0000008627	cysltr2a	cysteinyl leukotriene receptor 2a
LL0000008628	cysltr2b	cysteinyl leukotriene receptor 2b
LL0000008629	cysltr3	cysteinyl leukotriene receptor 3
LL0000008630	cyt1	type I cytokeratin, enveloping layer
LL0000008631	cyt1l	type I cytokeratin, enveloping layer, like
LL0000008632	cyth1a	cytohesin 1a
LL0000008633	cyth1b	cytohesin 1b
LL0000008634	CYTH2	si:dkey-283b15.4 [Source:ZFIN;Acc:ZDB-GENE-100921-55]
LL0000008635	cyth3a	cytohesin 3a
LL0000008636	cyth3b	cytohesin 3b
LL0000008637	cyth4a	cytohesin 4a
LL0000008638	cyth4b	cytohesin 4b
LL0000008639	cytip	cytohesin 1 interacting protein
LL0000008640	CYTL1	cytokine like 1 [Source:NCBI gene;Acc:101886995]
LL0000008641	cyyr1	cysteine/tyrosine-rich 1
LL0000008642	CZQB01066256.1	
LL0000008643	CZQB01137059.1	
LL0000008644	CZQB01141835.1	zinc finger protein 883-like [Source:NCBI gene;Acc:110439853]
LL0000008645	CZQB01146713.1	NUCLEOPORIN NUP44 NUCLEAR PORE NUP44
LL0000008646	d2hgdh	D-2-hydroxyglutarate dehydrogenase
LL0000008647	daam1a	dishevelled associated activator of morphogenesis 1a
LL0000008648	daam1b	dishevelled associated activator of morphogenesis 1b
LL0000008649	daam2	dishevelled associated activator of morphogenesis 2
LL0000008650	dab1a	DAB adaptor protein 1a
LL0000008651	dab1b	DAB adaptor protein 1b
LL0000008652	dab2	DAB adaptor protein 2
LL0000008653	dab2ipa	DAB2 interacting protein a
LL0000008654	dab2ipb	DAB2 interacting protein b
LL0000008655	dacha	dachshund a
LL0000008656	dachb	dachshund b
LL0000008657	dachc	dachshund c
LL0000008658	dachd	dachshund d
LL0000008659	dact1	dishevelled-binding antagonist of beta-catenin 1
LL0000008660	dact2	dishevelled-binding antagonist of beta-catenin 2
LL0000008661	dact3a	dishevelled-binding antagonist of beta-catenin 3a
LL0000008662	dad1	defender against cell death 1
LL0000008663	dag1	dystroglycan 1
LL0000008664	dagla	diacylglycerol lipase, alpha
LL0000008665	daglb	diacylglycerol lipase, beta
LL0000008666	dalrd3	DALR anticodon binding domain containing 3
LL0000008667	dand5	DAN domain family, member 5
LL0000008668	dao.1	D-amino-acid oxidase, tandem duplicate 1
LL0000008669	dao.2	D-amino-acid oxidase, tandem duplicate 2
LL0000008670	dao.3	D-amino-acid oxidase, tandem duplicate 3
LL0000008671	dap	death-associated protein
LL0000008672	dap1b	death associated protein 1b
LL0000008673	dap3	death associated protein 3
LL0000008674	dapk1	death-associated protein kinase 1
LL0000008675	dapk2a	death-associated protein kinase 2a
LL0000008676	dapk2b	death-associated protein kinase 2b
LL0000008677	dapk3	death-associated protein kinase 3
LL0000008678	dapp1	dual adaptor of phosphotyrosine and 3-phosphoinositides
LL0000008679	dars	aspartyl-tRNA synthetase [Source:ZFIN;Acc:ZDB-GENE-061110-135]
LL0000008680	dars2	aspartyl-tRNA synthetase 2, mitochondrial
LL0000008681	daw1	dynein assembly factor with WDR repeat domains 1
LL0000008682	daxx	death-domain associated protein
LL0000008683	dazap1	DAZ associated protein 1
LL0000008684	dazap2	DAZ associated protein 2
LL0000008685	dazl	deleted in azoospermia-like
LL0000008686	dbf4	DBF4 zinc finger
LL0000008687	dbf4b	DBF4 zinc finger B
LL0000008688	dbh	dopamine beta-hydroxylase (dopamine beta-monooxygenase)
LL0000008689	dbi	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)
LL0000008690	dbn1	drebrin 1
LL0000008691	dbnla	drebrin-like a
LL0000008692	dbnlb	drebrin-like b
LL0000008693	dbpa	D site albumin promoter binding protein a
LL0000008694	dbpb	D site albumin promoter binding protein b
LL0000008695	dbr1	debranching RNA lariats 1
LL0000008696	dbt	dihydrolipoamide branched chain transacylase E2
LL0000008697	dbx1a	developing brain homeobox 1a
LL0000008698	dbx1b	developing brain homeobox 1b
LL0000008699	dcaf11	ddb1 and cul4 associated factor 11
LL0000008700	dcaf12	DDB1 and CUL4 associated factor 12
LL0000008701	dcaf13	ddb1 and cul4 associated factor 13
LL0000008702	dcaf15	DDB1 and CUL4 associated factor 15
LL0000008703	dcaf17	ddb1 and cul4 associated factor 17
LL0000008704	dcaf5	ddb1 and cul4 associated factor 5
LL0000008705	dcaf6	ddb1 and cul4 associated factor 6
LL0000008706	dcaf7	ddb1 and cul4 associated factor 7
LL0000008707	dcaf8	DDB1 and CUL4 associated factor 8
LL0000008708	dcakd	dephospho-CoA kinase domain containing
LL0000008709	dcbld1	discoidin, CUB and LCCL domain containing 1
LL0000008710	dcbld2	discoidin, CUB and LCCL domain containing 2
LL0000008711	dcc	DCC netrin 1 receptor
LL0000008712	dcdc2b	doublecortin domain containing 2B
LL0000008713	dchs1a	dachsous cadherin-related 1a
LL0000008714	dchs1b	dachsous cadherin-related 1b
LL0000008715	dck	deoxycytidine kinase
LL0000008716	dclk1a	doublecortin-like kinase 1a
LL0000008717	dclk1b	doublecortin-like kinase 1b
LL0000008718	dclk2a	doublecortin-like kinase 2a
LL0000008719	dclk2b	doublecortin-like kinase 2b
LL0000008720	dclk3	doublecortin-like kinase 3
LL0000008721	dclre1a	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)
LL0000008722	dclre1b	DNA cross-link repair 1B
LL0000008723	dclre1c	DNA cross-link repair 1C, PSO2 homolog (S. cerevisiae)
LL0000008724	dcn	decorin
LL0000008725	dcp1a	decapping mRNA 1A
LL0000008726	dcp1b	decapping mRNA 1B
LL0000008727	dcp2	decapping mRNA 2
LL0000008728	dcps	decapping enzyme, scavenger
LL0000008729	dcst1	DC-STAMP domain containing 1
LL0000008730	dcst2	DC-STAMP domain containing 2
LL0000008731	dcstamp	dendrocyte expressed seven transmembrane protein
LL0000008732	dct	dopachrome tautomerase
LL0000008733	dctd	dCMP deaminase
LL0000008734	dctn1a	dynactin 1a
LL0000008735	dctn1b	dynactin 1b
LL0000008736	dctn2	dynactin 2 (p50)
LL0000008737	dctn3	dynactin 3 (p22)
LL0000008738	dctn4	dynactin 4
LL0000008739	dctn5	dynactin 5
LL0000008740	dctpp1	dCTP pyrophosphatase 1
LL0000008741	dcun1d1	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)
LL0000008742	dcun1d2a	DCN1, defective in cullin neddylation 1, domain containing 2a
LL0000008743	dcun1d2b	DCN1, defective in cullin neddylation 1, domain containing 2b
LL0000008744	dcun1d3	defective in cullin neddylation 1 domain containing 3
LL0000008745	dcun1d4	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)
LL0000008746	dcun1d5	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)
LL0000008747	dcxr	dicarbonyl/L-xylulose reductase
LL0000008748	dda1	DET1 and DDB1 associated 1
LL0000008749	ddah1	dimethylarginine dimethylaminohydrolase 1
LL0000008750	ddah2	dimethylarginine dimethylaminohydrolase 2
LL0000008751	ddb1	damage-specific DNA binding protein 1
LL0000008752	ddb2	damage-specific DNA binding protein 2
LL0000008753	ddc	dopa decarboxylase
LL0000008754	ddhd1a	DDHD domain containing 1a
LL0000008755	ddhd1b	DDHD domain containing 1b
LL0000008756	ddhd2	DDHD domain containing 2
LL0000008757	ddi2	DNA-damage inducible protein 2
LL0000008758	ddias	DNA damage-induced apoptosis suppressor
LL0000008759	ddit3	DNA-damage-inducible transcript 3
LL0000008760	ddit4	DNA-damage-inducible transcript 4
LL0000008761	ddost	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)
LL0000008762	ddr1	discoidin domain receptor tyrosine kinase 1
LL0000008763	ddr2a	discoidin domain receptor tyrosine kinase 2a
LL0000008764	ddr2b	discoidin domain receptor tyrosine kinase 2b
LL0000008765	ddr2l	discoidin domain receptor family, member 2, like
LL0000008766	ddrgk1	DDRGK domain containing 1
LL0000008767	ddt	D-dopachrome tautomerase
LL0000008768	ddx1	DEAD (Asp-Glu-Ala-Asp) box helicase 1
LL0000008769	ddx10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
LL0000008770	ddx11	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11
LL0000008771	DDX17	si:dkey-156n14.5 [Source:ZFIN;Acc:ZDB-GENE-030131-18]
LL0000008772	ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
LL0000008773	ddx19	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 19 (DBP5 homolog, yeast)
LL0000008774	ddx20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20
LL0000008775	ddx21	DEAD (Asp-Glu-Ala-Asp) box helicase 21
LL0000008776	ddx23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23
LL0000008777	ddx24	DEAD (Asp-Glu-Ala-Asp) box helicase 24
LL0000008778	ddx27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27
LL0000008779	ddx28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
LL0000008780	ddx31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
LL0000008781	ddx39aa	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39Aa
LL0000008782	ddx39ab	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39Ab
LL0000008783	ddx39b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B
LL0000008784	ddx3xa	DEAD-box helicase 3 X-linked a
LL0000008785	ddx3xb	DEAD-box helicase 3 X-linked b
LL0000008786	ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4
LL0000008787	ddx41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41
LL0000008788	ddx42	DEAD (Asp-Glu-Ala-Asp) box helicase 42
LL0000008789	ddx43	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43
LL0000008790	ddx46	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46
LL0000008791	ddx47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47
LL0000008792	ddx49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49
LL0000008793	ddx5	DEAD (Asp-Glu-Ala-Asp) box helicase 5
LL0000008794	ddx51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
LL0000008795	ddx52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
LL0000008796	ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
LL0000008797	ddx55	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55
LL0000008798	ddx56	DEAD (Asp-Glu-Ala-Asp) box helicase 56
LL0000008799	ddx58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
LL0000008800	ddx59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59
LL0000008801	ddx6	DEAD (Asp-Glu-Ala-Asp) box helicase 6
LL0000008802	ddx61	DEAD (Asp-Glu-Ala-Asp) box helicase 61
LL0000008803	deaf1	DEAF1 transcription factor
LL0000008804	decr1	2,4-dienoyl CoA reductase 1, mitochondrial
LL0000008805	decr2	2,4-dienoyl CoA reductase 2, peroxisomal
LL0000008806	dedd	death effector domain containing
LL0000008807	dedd1	death effector domain-containing 1
LL0000008808	def6a	DEF6 guanine nucleotide exchange factor a
LL0000008809	def6b	DEF6 guanine nucleotide exchange factor b
LL0000008810	def6c	DEF6 guanine nucleotide exchange factor c
LL0000008811	def8	differentially expressed in FDCP 8 homolog
LL0000008812	defbl1	defensin, beta-like 1
LL0000008813	defbl2	defensin, beta-like 2
LL0000008814	defbl3	defensin, beta-like 3
LL0000008815	degs1	delta(4)-desaturase, sphingolipid 1
LL0000008816	degs2	delta(4)-desaturase, sphingolipid 2
LL0000008817	dek	DEK proto-oncogene
LL0000008818	dele1	DAP3 binding cell death enhancer 1
LL0000008819	dennd1a	DENN/MADD domain containing 1A
LL0000008820	dennd1b	DENN/MADD domain containing 1B
LL0000008821	dennd2c	DENN/MADD domain containing 2C
LL0000008822	dennd2da	DENN/MADD domain containing 2Da
LL0000008823	dennd2db	DENN/MADD domain containing 2Db
LL0000008824	dennd3a	DENN/MADD domain containing 3a
LL0000008825	dennd3b	DENN/MADD domain containing 3b
LL0000008826	dennd4a	DENN/MADD domain containing 4A
LL0000008827	dennd4b	DENN/MADD domain containing 4B
LL0000008828	dennd4c	DENN/MADD domain containing 4C
LL0000008829	dennd5a	DENN/MADD domain containing 5A
LL0000008830	dennd5b	DENN/MADD domain containing 5B
LL0000008831	dennd6aa	DENN/MADD domain containing 6Aa
LL0000008832	dennd6b	DENN/MADD domain containing 6B
LL0000008833	denr	density-regulated protein
LL0000008834	depdc1a	DEP domain containing 1a
LL0000008835	depdc5	DEP domain containing 5, GATOR1 subcomplex subunit
LL0000008836	depdc7a	DEP domain containing 7, paralog a
LL0000008837	depdc7b	DEP domain containing 7, paralog b
LL0000008838	deptor	DEP domain containing MTOR-interacting protein
LL0000008839	dera	deoxyribose-phosphate aldolase (putative)
LL0000008840	derl1	derlin 1
LL0000008841	derl2	derlin 2
LL0000008842	derl3	derlin 3
LL0000008843	desi1a	desumoylating isopeptidase 1a
LL0000008844	desi1b	desumoylating isopeptidase 1b
